ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	SUBGROUP	FORM	SPANISH	TOKENS	VALUE	BORROWING	MORPHEMES	NOTE	SOURCE
4434	tʃ u tʃ u	607	breast	Jauja	Quechua	chuchu	seno	tʃ u tʃ u	chuchu			(senos)	cerron1976
4435	ɲ u ɲ u	316	breast	Huancane	Aymara	ñuñu	seno	ɲ u ɲ u	ñuñu				heggarty2005
4436	tʃ i tʃ i	607	breast	Huangascar	Quechua	chichi	seno	tʃ i tʃ i	chichi				shimelman2017
4437	ɲ u ɲ u	609	breast	Huangascar	Quechua	ñuñu	seno	ɲ u ɲ u	ñuñu				shimelman2017
4438	ɳ u ɳ u	609	breast	HuarazHuailas	Quechua	ñuñu	seno	ɳ u ɳ u	ñuñu				parkerchavez1976
4439	tʃ u tʃ u	607	breast	Imbabura	Quechua	chuchu	seno	tʃ u tʃ u	chuchu				gomez2009
4440	ɲ u ɲ u	609	breast	Inkawasi	Quechua	ñuñu	seno	ɲ u ɲ u	ñuñu				heggarty2005
4441	ɲ u ɲ u	316	breast	Jaqaru	Aymara	ñuñu	seno	ɲ u ɲ u	ñuñu				heggarty2005
4442	ɲ u ɲ u	316	breast	Kawki	Aymara	ñuñu	seno	ɲ u ɲ u	ñuñu				heggarty2005
4443	tʃ u tʃ u	607	breast	Lamas	Quechua	chuchu	seno	tʃ u tʃ u	chuchu,  ñuñu				taylor2006
4444	ɲ u ɲ u	609	breast	Lamas	Quechua	ñuñu	seno	ɲ u ɲ u	chuchu,  ñuñu				taylor2006
4445	ɲ u ɲ u	609	breast	Laraos	Quechua	ñuñu	seno	ɲ u ɲ u	ñuñu				heggarty2005
4446	tʃ i tʃ i	607	breast	Lincha-Tana	Quechua	chichi	seno	tʃ i tʃ i	chichi				shimelman2017
4447	ɲ u ɲ u	609	breast	Lincha-Tana	Quechua	ñuñu	seno	ɲ u ɲ u	ñuñu				shimelman2017
4448	ɲ u ɲ u	609	breast	Maragua	Quechua	ñuñu	seno	ɲ u ɲ u	ñuñu				heggarty2005
4449	tʃ u tʃ u	607	breast	Napo	Quechua	chuchu	seno	tʃ u tʃ u	chuchu				orrwrisley1981
4450	tʃ u tʃ u	607	breast	Pacaraos	Quechua	chuchu	seno	tʃ u tʃ u	chuchu				adelaar1982
4451	tʃ u tʃ u	607	breast	Pastaza	Quechua	chuchu	seno	tʃ u tʃ u	chuchu				landerman1973
4452	ɲ u ɲ u	609	breast	Pocona	Quechua	ñuñu	seno	ɲ u ɲ u	ñuñu				heggarty2005
4453	ɲ u ɲ u	316	breast	Puki	Aymara	ñuñu	seno	ɲ u ɲ u	ñuñu				heggarty2005
4454	ɲ u ɲ u	609	breast	Puno	Quechua	ñuñu	seno	ɲ u ɲ u	ñuñu				heggarty2005
4455	tʃ u tʃ u	607	breast	Putumayo	Quechua	chuchu	seno	tʃ u tʃ u	chuchu				tandioy1978
4456	ɳ u ɳ u	609	breast	Raimondi	Quechua	ñuñu	seno	ɳ u ɳ u	ñuñu				parkerchavez1976
4457	tʃ i tʃ i	607	breast	SanPedro	Quechua	chichi	seno	tʃ i tʃ i	chichi				shimelman2017
4458	ɲ u ɲ u	609	breast	SanPedro	Quechua	ñuñu	seno	ɲ u ɲ u	ñuñu				shimelman2017
4459	ɲ u ɲ u	609	breast	Santiagueno	Quechua	ñuñu	seno	ɲ u ɲ u	ñuñu				juanatey2021
4460	ɲ o ɲ o	609	breast	SantoTomas	Quechua	ñoño	seno	ɲ o ɲ o	ñoño				santotomas1951
4461	tʃ u tʃ u	607	breast	Serena	Quechua	čuču	seno	tʃ u tʃ u	čuču				heggarty2005
4462	ɲ u ɲ u	316	breast	Sullkatiti	Aymara	ñuñu	seno	ɲ u ɲ u	ñuñu				heggarty2005
4463	ɲ u ɲ u	609	breast	Taquile	Quechua	ñuñu	seno	ɲ u ɲ u	ñuñu				heggarty2005
4464	tʃ u tʃ u	607	breast	Tarma	Quechua	čuču	seno	tʃ u tʃ u	čuču				adelaar1977
4465	tʃ u tʃ u	607	breast	Troje	Quechua	čuču	seno	tʃ u tʃ u	čuču				heggarty2005
4466	ɳ u ɳ u	609	breast	Wari	Quechua	ñuñu	seno	ɳ u ɳ u	ñuñu				parkerchavez1976
4467	s e n o	60	breast	Yanac	Quechua	seno	seno	s e n o	seno	esp			heggarty2005
4468	s̺ ɔ n k ɔ	2878	heart	Anonimo	Quechua	ʃonco	corazón	s̺ ɔ n k ɔ	ʃonco				valera1586
4470	s o n q o	2878	heart	Apurimac	Quechua	sonqo	corazón	s o n q o	sonqo				camacho2007
4471	s u ŋ χ u	2878	heart	Arma	Quechua	sunqu	corazón	s u ŋ χ u	sunqu				galvez2003
4472	s u n ɢ u	2878	heart	Atalla	Quechua	sunġu	corazón	s u n ɢ u	sunġu				heggarty2005
4473	s o ŋ χ o	2878	heart	Ayacucho	Quechua	sonqo	corazón	s o ŋ χ o	sonqo				soto1976
4474	ʃ u n g u	2878	heart	Bobonaza	Quechua	shungu	corazón	ʃ u n g u	shungu				orrwrisley1981
4476	ʃ o ŋ q u	2878	heart	Cacra-Hongos	Quechua	shunqu	corazón	ʃ o ŋ q u	shunqu				shimelman2017
4477	ʃ u n g u	2878	heart	Chachapoyas	Quechua	shunku	corazón	ʃ u n g u	shunku				taylor2006
4478	ʃ u n ʁ u	2878	heart	Chacpar	Quechua	šunγu	corazón	ʃ u n ʁ u	šunγu				heggarty2005
4479	ʃ o n q o	2878	heart	Chetilla	Quechua	shonqo	corazón	ʃ o n q o	shonqo				quesada1976
4480	t u - z - i	2881	heart	Chipaya	Uru-Chipaya	tuzi	corazón	t u z i	tuzi				heggarty2005
4481	s u n q u	2878	heart	Curva	Quechua	sunqu	corazón	s u n q u	sunqu				heggarty2005
4482	s u n q u	2878	heart	Cuzco	Quechua	sunqu	corazón	s u n q u	sunqu				heggarty2005
4483	s u n k u	2878	heart	CuzquenoAntiguo	Quechua	sonco	corazón	s u n k u	sonco				holguin1608
4484	ʃ u n q u	2878	heart	Huallaga	Quechua	šunqu	corazón	ʃ u n q u	šunqu				heggarty2005
4485	ʂ u n ʔ u	2878	heart	Huanca	Quechua	shunqu	corazón	ʂ u n ʔ u	shunqu				cerron1976
4487	ʎ u q u	2882	heart	Huancane	Aymara	λuqu	corazón	ʎ u q u	λuqu				heggarty2005
4489	ʃ o ŋ q u	2878	heart	Huangascar	Quechua	shunqu	corazón	ʃ o ŋ q u	shunqu				shimelman2017
4490	ʃ o ɲ q u	2878	heart	HuarazHuailas	Quechua	shonqu	corazón	ʃ o ɲ q u	shonqu				parkerchavez1976
4491	ʃ u n g u	2878	heart	Imbabura	Quechua	shungu	corazón	ʃ u n g u	shungu				gomez2009
4492	k o r a z o n - -	2880	heart	Inkawasi	Quechua	corazón	corazón	k o r a z o n	corazón	esp			heggarty2005
4493	t u - s - i	2881	heart	Iruhito	Uru-Chipaya	túsʰi	corazón	t u s i	túsʰi				cerron2016
4494	k u r a s u n h a	2880	heart	Jaqaru	Aymara	kurasunha	corazón	k u r a s u n h a	kurasunha	esp			heggarty2005
4495	k u r a s u n h a	2880	heart	Kawki	Aymara	kurasunha	corazón	k u r a s u n h a	kurasunha	esp			heggarty2005
4496	ʃ u n g u	2878	heart	Lamas	Quechua	shunku	corazón	ʃ u n g u	shunku				taylor2006
4497	s u n q u	2878	heart	Laraos	Quechua	sunqu	corazón	s u n q u	sunqu				heggarty2005
4499	ʃ o ŋ q u	2878	heart	Lincha-Tana	Quechua	shunqu	corazón	ʃ o ŋ q u	shunqu				shimelman2017
4500	s u n q u	2878	heart	Maragua	Quechua	sunqu	corazón	s u n q u	sunqu				heggarty2005
4501	ʃ u n g u	2878	heart	Napo	Quechua	shungu	corazón	ʃ u n g u	shungu				orrwrisley1981
4502	ʃ u ɴ χ u	2878	heart	Pacaraos	Quechua	shunqu	corazón	ʃ u ɴ χ u	shunqu				adelaar1982
4503	k u r a s u n - -	2880	heart	Pastaza	Quechua	curasun	corazón	k u r a s u n	curasun	esp			landerman1973
4504	s u n ʁ u	2878	heart	Pocona	Quechua	sunγu	corazón	s u n ʁ u	sunγu				heggarty2005
4505	ʎ u q u	2882	heart	Puki	Aymara	λuqu	corazón	ʎ u q u	λuqu				heggarty2005
4506	s u n q u	2878	heart	Puno	Quechua	sunqu	corazón	s u n q u	sunqu				heggarty2005
4507	s u n g u	2878	heart	Putumayo	Quechua	sungu	corazón	s u n g u	sungu				tandioy1978
4508	ʃ o ɲ q u	2878	heart	Raimondi	Quechua	shonqu	corazón	ʃ o ɲ q u	shonqu				parkerchavez1976
4510	ʃ o ŋ q u	2878	heart	SanPedro	Quechua	shunqu	corazón	ʃ o ŋ q u	shunqu				shimelman2017
4511	s o ŋ q o	2878	heart	Santiagueno	Quechua	sonqo	corazón	s o ŋ q o	sonqo				juanatey2021
4512	s o n q o	2878	heart	SantoTomas	Quechua	ʃongo	corazón	s o n q o	ʃongo				santotomas1951
4513	ʃ u n g u	2878	heart	Serena	Quechua	šungu	corazón	ʃ u n g u	šungu				heggarty2005
4514	ʎ u q u	2882	heart	Sullkatiti	Aymara	λuqu	corazón	ʎ u q u	λuqu				heggarty2005
4515	s u n q u	2878	heart	Taquile	Quechua	sunqu	corazón	s u n q u	sunqu				heggarty2005
4516	ʃ o ŋ χ u	2878	heart	Tarma	Quechua	šun̊xu	corazón	ʃ o ŋ χ u	šun̊xu				adelaar1977
4517	ʃ u n g u	2878	heart	Troje	Quechua	šungu	corazón	ʃ u n g u	šungu				heggarty2005
4518	tʃ u r s h i	2881	heart	Tsimu	Uru-Chipaya	tšúr̂shi	corazón	tʃ u r s h i	tšúr̂shi				cerron2016
4519	ʃ o ɲ q u	2878	heart	Wari	Quechua	shonqu	corazón	ʃ o ɲ q u	shonqu				parkerchavez1976
4520	ʃ u n q u	2878	heart	Yanac	Quechua	šunqu	corazón	ʃ u n q u	šunqu				heggarty2005
4521	a ʎ k ɔ	1109	dog	Anonimo	Quechua	allco	perro	a ʎ k ɔ	allco				valera1586
4522	a ʎ q o	1109	dog	Apuri	Quechua	allqu	perro	a ʎ q o	allqu				shimelman2017
4524	a ʎ q o	1109	dog	Apurimac	Quechua	allqo	perro	a ʎ q o	allqo, alqo				camacho2007
4525	a l q o	1109	dog	Apurimac	Quechua	alqo	perro	a l q o	allqo, alqo				camacho2007
4526	a ʎ χ u	1109	dog	Arma	Quechua	allqu	perro	a ʎ χ u	allqu				galvez2003
4527	a ʎ χ u	1109	dog	Atalla	Quechua	aλχu	perro	a ʎ χ u	aλχu				heggarty2005
4528	a ʎ χ o	1109	dog	Ayacucho	Quechua	allqo	perro	a ʎ χ o	allqo				soto1976
4529	a ʎ k u	1109	dog	Bobonaza	Quechua	allcu	perro	a ʎ k u	allcu				orrwrisley1981
4530	a ʎ q o	1109	dog	Cacra-Hongos	Quechua	allqu	perro	a ʎ q o	allqu				shimelman2017
4532	a dʑ k u	1109	dog	Chachapoyas	Quechua	allku	perro	a dʑ k u	allku				taylor2006
4533	a ʎ ʁ u	1109	dog	Chacpar	Quechua	aλγu	perro	a ʎ ʁ u	aλγu				heggarty2005
4534	a tʃ ʁ u	1109	dog	Chetilla	Quechua	ačγu	perro	a tʃ ʁ u	ač(ə)γu				heggarty2005
4535	p a q w u	58	dog	Chipaya	Uru-Chipaya	paqwu	perro	p a q w u	paqwu				heggarty2005
4536	a l q u	1109	dog	Curva	Quechua	alqu	perro	a l q u	alqu				heggarty2005
4537	a l q u	1109	dog	Cuzco	Quechua	alqu	perro	a l q u	alqu				heggarty2005
4538	a ʎ k u	1109	dog	CuzquenoAntiguo	Quechua	allco	perro	a ʎ k u	allco				holguin1608
4539	a ʎ q u	1109	dog	Huallaga	Quechua	aλqu	perro	a ʎ q u	aλqu				heggarty2005
4540	a ʎ ʔ u	1109	dog	Huanca	Quechua	allqu	perro	a ʎ ʔ u	allqu				cerron1976
4543	a n u + q a r - a	1112 58	dog	Huancane	Aymara	anuqara	perro	a n u + q a r a	anuqara				heggarty2005
4544	a ʎ q o	1109	dog	Huangascar	Quechua	allqu	perro	a ʎ q o	allqu				shimelman2017
4546	a ʎ q u	1109	dog	HuarazHuailas	Quechua	allqu	perro	a ʎ q u	allqu				parkerchavez1976
4547	a ʎ k u	1109	dog	Imbabura	Quechua	allku	perro	a ʎ k u	allku				gomez2009
4548	a ʒ ʁ u	1109	dog	Inkawasi	Quechua	ažγu	perro	a ʒ ʁ u	až(ə)γu				heggarty2005
4549	ts’ a: t - + k a t n i	57 1113	dog	Iruhito	Uru-Chipaya	ts’á:t-kátni	perro	ts’ a: t + k a t n i	ts’á:t-kátni				cerron2016
4550	( h ) a ʎ qʼ u	317	dog	Jaqaru	Aymara	haλq'u	perro	h a ʎ qʼ u	haλ(a)q'u				heggarty2005
4551	- a ʃ a r a	1110	dog	Kawki	Aymara	ašara	perro	a ʃ a r a	ašara				heggarty2005
4552	a dʑ k u	1109	dog	Lamas	Quechua	allku	perro	a dʑ k u	allku				taylor2006
4553	a l q u	1109	dog	Laraos	Quechua	alqu	perro	a l q u	alqu				heggarty2005
4554	a ʎ q o	1109	dog	Lincha-Tana	Quechua	allqu	perro	a ʎ q o	allqu				shimelman2017
4556	a l q u	1109	dog	Maragua	Quechua	alqu	perro	a l q u	alqu				heggarty2005
4557	a ʎ k u	1109	dog	Napo	Quechua	allcu	perro	a ʎ k u	allcu				orrwrisley1981
4558	a l χ o	1109	dog	Pacaraos	Quechua	alqu	perro	a l χ o	alqu				adelaar1982
4559	a ʎ k u	1109	dog	Pastaza	Quechua	allcu	perro	a ʎ k u	allcu				landerman1973
4560	a l ʁ u	1109	dog	Pocona	Quechua	alγu	perro	a l ʁ u	alγu				heggarty2005
4561	a n u	1112	dog	Puki	Aymara	anu	perro	a n u	anu				heggarty2005
4562	a l q u	1109	dog	Puno	Quechua	alqu	perro	a l q u	alqu				heggarty2005
4563	a l k u	1109	dog	Putumayo	Quechua	alcu	perro	a l k u	alcu				tandioy1978
4564	a ʎ q u	1109	dog	Raimondi	Quechua	allqu	perro	a ʎ q u	allqu				parkerchavez1976
4565	a ʎ q o	1109	dog	SanPedro	Quechua	allqu	perro	a ʎ q o	allqu				shimelman2017
4567	a ʒ q o	1109	dog	Santiagueno	Quechua	allqo	perro	a ʒ q o	allqo				juanatey2021
4568	a ʎ q u	1109	dog	SantoTomas	Quechua	allqu	perro	a ʎ q u	allqu				santotomas1951
4569	a ʎ k u	1109	dog	Serena	Quechua	aλku	perro	a ʎ k u	aλku				heggarty2005
4570	a n u	1112	dog	Sullkatiti	Aymara	anu	perro	a n u	anu				heggarty2005
4571	a l q u	1109	dog	Taquile	Quechua	alqu	perro	a l q u	alqu				heggarty2005
4572	a l χ o	1109	dog	Tarma	Quechua	alxu	perro	a l χ o	alxu				adelaar1977
4573	a ʒ k u	1109	dog	Troje	Quechua	ažku	perro	a ʒ k u	ažku				heggarty2005
4574	ts’ a: t a	57	dog	Tsimu	Uru-Chipaya	ts’á:ta	perro	ts’ a: t a	ts’á:ta, pá:ko				cerron2016
4575	p a: k - o	58	dog	Tsimu	Uru-Chipaya	pá:ko	perro	p a: k o	ts’á:ta, pá:ko				cerron2016
4576	a ʎ q u	1109	dog	Wari	Quechua	allqu	perro	a ʎ q u	allqu				parkerchavez1976
4577	a ʎ q u	1109	dog	Yanac	Quechua	aλqu	perro	a ʎ q u	aλqu				heggarty2005
4578	a t ɔ k	2264	fox	Anonimo	Quechua	atoc	zorro	a t ɔ k	atoc				valera1586
4579	a t o q	2264	fox	Apuri	Quechua	atuq	zorro	a t o q	atuq				shimelman2017
4580	a t o q	2264	fox	Apurimac	Quechua	atoq	zorro	a t o q	atoq				camacho2007
4581	a t u χ	2264	fox	Arma	Quechua	atuq	zorro	a t u χ	atuq				galvez2003
4582	a t u χ	2264	fox	Atalla	Quechua	atuχ	zorro	a t u χ	atuχ				heggarty2005
4583	a t o χ	2264	fox	Ayacucho	Quechua	atoq	zorro	a t o χ	atoq				soto1976
4584	a t o q	2264	fox	Cacra-Hongos	Quechua	atuq	zorro	a t o q	atuq				shimelman2017
4585	a t u k	2264	fox	Chachapoyas	Quechua	atuk	zorro	a t u k	atuk				taylor2006
4586	a t u q	2264	fox	Chacpar	Quechua	atuq	zorro	a t u q	atuq				heggarty2005
4587	a t o q	2264	fox	Chetilla	Quechua	atoq	zorro	a t o q	atoq				quesada1976
4588	q i t i - -	55	fox	Chipaya	Uru-Chipaya	qiti	zorro	q i t i	qiti				heggarty2005
4589	a t u χ	2264	fox	Curva	Quechua	atuχ	zorro	a t u χ	atuχ				heggarty2005
4590	a t u χ	2264	fox	Cuzco	Quechua	atuχ	zorro	a t u χ	atuχ				heggarty2005
4591	a t u k	2264	fox	CuzquenoAntiguo	Quechua	atok	zorro	a t u k	atok				holguin1608
4592	a t u χ	2264	fox	Huallaga	Quechua	atuχ	zorro	a t u χ	atuχ				heggarty2005
4593	a t u ʔ	2264	fox	Huanca	Quechua	atuq	zorro	a t u ʔ	atuq				cerron1976
4594	q a m a q i	2266	fox	Huancane	Aymara	qamaqi	zorro	q a m a q i	qamaqi				heggarty2005
4595	a t o q	2264	fox	Huangascar	Quechua	atuq	zorro	a t o q	atuq				shimelman2017
4596	a t o q	2264	fox	HuarazHuailas	Quechua	atoq	zorro	a t o q	atoq				parkerchavez1976
4597	a ɲ a s	2267	fox	Imbabura	Quechua	añas	zorro	a ɲ a s	añas				gomez2009
4598	z o r o	2265	fox	Inkawasi	Quechua	zorro	zorro	z o r o	zorro	esp			heggarty2005
4599	a t u q ( u )	318	fox	Jaqaru	Aymara	atuqu	zorro	a t u q u	atuqu				heggarty2005
4600	a t u q ( u )	318	fox	Kawki	Aymara	atuqu	zorro	a t u q u	atuqu				heggarty2005
4601	a t u k	2264	fox	Lamas	Quechua	atuk	zorro	a t u k	atuk				taylor2006
4602	a t u χ	2264	fox	Laraos	Quechua	atuχ	zorro	a t u χ	atuχ				heggarty2005
4603	a t o q	2264	fox	Lincha-Tana	Quechua	atuq	zorro	a t o q	atuq				shimelman2017
4604	a t u χ	2264	fox	Maragua	Quechua	atuχ	zorro	a t u χ	atuχ				heggarty2005
4605	a tʃ o χ	2264	fox	Pacaraos	Quechua	achuq	zorro	a tʃ o χ	achuq				adelaar1982
4606	s u r u	2265	fox	Pastaza	Quechua	suru	zorro	s u r u	suru	esp			landerman1973
4607	a t u χ	2264	fox	Pocona	Quechua	atuχ	zorro	a t u χ	atuχ				heggarty2005
4608	q a m a q i	2266	fox	Puki	Aymara	qamaqi	zorro	q a m a q i	qamaqi				heggarty2005
4609	a t u χ	2264	fox	Puno	Quechua	atuχ	zorro	a t u χ	atuχ				heggarty2005
4610	a t o q	2264	fox	Raimondi	Quechua	atoq	zorro	a t o q	atoq				parkerchavez1976
4611	a t o q	2264	fox	SanPedro	Quechua	atuq	zorro	a t o q	atuq				shimelman2017
4612	a t o χ	2264	fox	Santiagueno	Quechua	atoq	zorro	a t o χ	atoq				juanatey2021
4613	a t o k	2264	fox	SantoTomas	Quechua	atoc	zorro	a t o k	atoc				santotomas1951
4614	s a tʃ a - - + a ʎ k u	56 1109	fox	Serena	Quechua	sača aλku	zorro	s a tʃ a + a ʎ k u	sača aλku				heggarty2005
4615	q a m a q i	2266	fox	Sullkatiti	Aymara	qamaqi	zorro	q a m a q i	qamaqi				heggarty2005
4616	a t u χ	2264	fox	Taquile	Quechua	atuχ	zorro	a t u χ	atuχ				heggarty2005
4617	a t o χ	2264	fox	Tarma	Quechua	atux	zorro	a t o χ	atux				adelaar1977
4618	a t u x	2264	fox	Troje	Quechua	atux	zorro	a t u x	atux				heggarty2005
4619	a t o q	2264	fox	Wari	Quechua	atoq	zorro	a t o q	atoq				parkerchavez1976
4620	a t u q	2264	fox	Yanac	Quechua	atuq	zorro	a t u q	atuq				heggarty2005
4621	h u k u + tʃ a	4157 352	mouse	Anonimo	Quechua	hucucha	ratón	h u k u + tʃ a	hucucha				valera1586
4622	- u k u + tʃ a	4157 352	mouse	Apuri	Quechua	ukucha	ratón	u k u + tʃ a	ukucha				shimelman2017
4623	h u k u + tʃ a	4157 352	mouse	Apurimac	Quechua	hukucha	ratón	h u k u + tʃ a	hukucha, qukucha, ukucha				camacho2007
4624	q u k u + tʃ a	4157 352	mouse	Apurimac	Quechua	qukucha	ratón	q u k u + tʃ a	hukucha, qukucha, ukucha				camacho2007
4625	- u k u + tʃ a	4157 352	mouse	Apurimac	Quechua	ukucha	ratón	u k u + tʃ a	hukucha, qukucha, ukucha				camacho2007
4626	- u k u + tʃ a	4157 352	mouse	Arma	Quechua	ukucha	ratón	u k u + tʃ a	ukucha				galvez2003
4627	- u k u + tʃ a	4157 352	mouse	Atalla	Quechua	uku.ča	ratón	u k u + tʃ a	uku.ča				heggarty2005
4628	- u k u + tʃ a	4157 352	mouse	Ayacucho	Quechua	ukucha	ratón	u k u + tʃ a	ukucha				soto1976
4629	- u k u + tʃ a	4157 352	mouse	Bobonaza	Quechua	ucucha	ratón	u k u + tʃ a	ucucha				orrwrisley1981
4630	- u k u + tʃ a	4157 352	mouse	Cacra-Hongos	Quechua	ukucha	ratón	u k u + tʃ a	ukucha				shimelman2017
4631	- u - - + tʃ a	353 352	mouse	Chachapoyas	Quechua	ucha	ratón	u + tʃ a	ucha				taylor2006
4632	- u k u + ʃ	4157 381	mouse	Chacpar	Quechua	uku.š	ratón	u k u + ʃ	uku.š				heggarty2005
4633	- u k u + tʃ a	4157 352	mouse	Chetilla	Quechua	uku.ča	ratón	u k u + tʃ a	uku.ča				heggarty2005
4634	a tʃ u k u	350	mouse	Chipaya	Uru-Chipaya	ačuku	ratón	a tʃ u k u	ačuku, ačiku				heggarty2005
4635	a tʃ i k u	350	mouse	Chipaya	Uru-Chipaya	ačiku	ratón	a tʃ i k u	ačuku, ačiku				heggarty2005
4636	h u kʼ u + tʃ a	4157 352	mouse	Curva	Quechua	huk'u.ča	ratón	h u kʼ u + tʃ a	huk'u.ča				heggarty2005
4637	h u kʼ u + tʃ a	4157 352	mouse	Cuzco	Quechua	huk'u.ča	ratón	h u kʼ u + tʃ a	huk'u.ča				heggarty2005
4638	h u k u + tʃ a	4157 352	mouse	CuzquenoAntiguo	Quechua	hucucha	ratón	h u k u + tʃ a	hucucha				holguin1608
4639	- u k u + tʃ a	4157 352	mouse	Huallaga	Quechua	uku.ča	ratón	u k u + tʃ a	uku.ča				heggarty2005
4640	- u k u + ʂ	4157 381	mouse	Huanca	Quechua	ukush	ratón	u k u + ʂ	ukush				cerron1976
4641	a tʃ a k u	49	mouse	Huancane	Aymara	ačaku	ratón	a tʃ a k u	ačaku				heggarty2005
4642	- u k u + tʃ a	4157 352	mouse	Huangascar	Quechua	ukucha	ratón	u k u + tʃ a	ukucha				shimelman2017
4643	- u k u + tʃ a	4157 352	mouse	Imbabura	Quechua	ukucha	ratón	u k u + tʃ a	ukucha				gomez2009
4644	- u k u + tʃ a	4157 352	mouse	Inkawasi	Quechua	uk.ča	ratón	u k u + tʃ a	uk(u).ča				heggarty2005
4645	h u tʃ q a	34	mouse	Jaqaru	Aymara	hučqa	ratón	h u tʃ q a	hučqa				heggarty2005
4646	h u tʃ q a	34	mouse	Kawki	Aymara	hučqa	ratón	h u tʃ q a	hučqa				heggarty2005
4647	- u k u + tʃ a	4157 352	mouse	Lamas	Quechua	ukucha	ratón	u k u + tʃ a	ukucha				taylor2006
4648	- u k u + ʃ	4157 381	mouse	Laraos	Quechua	uku.š	ratón	u k u + ʃ	uku.š				heggarty2005
4649	- u k u + tʃ a	4157 352	mouse	Lincha-Tana	Quechua	ukucha	ratón	u k u + tʃ a	ukucha				shimelman2017
4650	h u kʼ u + tʃ a	4157 352	mouse	Maragua	Quechua	huk'u.ča	ratón	h u kʼ u + tʃ a	huk'u.ča				heggarty2005
4651	- u k u + tʃ a	4157 352	mouse	Napo	Quechua	ucucha	ratón	u k u + tʃ a	ucucha				orrwrisley1981
4652	- u k u + ʃ	4157 381	mouse	Pacaraos	Quechua	ukush	ratón	u k u + ʃ	ukush, ukucha				adelaar1982
4653	- u k u + tʃ a	4157 352	mouse	Pacaraos	Quechua	ukucha	ratón	u k u + tʃ a	ukush, ukucha				adelaar1982
4654	- u k u + tʃ a	4157 352	mouse	Pastaza	Quechua	ucucha	ratón	u k u + tʃ a	ucucha				landerman1973
4655	h u kʼ u + tʃ a	4157 352	mouse	Pocona	Quechua	huk'u.ča	ratón	h u kʼ u + tʃ a	huk'u.ča				heggarty2005
4656	a tʃ a k u	49	mouse	Puki	Aymara	ačaku	ratón	a tʃ a k u	ačaku				heggarty2005
4657	h u kʼ u + tʃ a	4157 352	mouse	Puno	Quechua	huk'u.ča	ratón	h u kʼ u + tʃ a	huk'u.ča				heggarty2005
4658	- u k u + tʃ a	4157 352	mouse	Putumayo	Quechua	ucucha	ratón	u k u + tʃ a	ucucha				tandioy1978
4659	- u k u + tʃ a	4157 352	mouse	SanPedro	Quechua	ukucha	ratón	u k u + tʃ a	ukucha				shimelman2017
4660	- u x u + tʃ a	4157 352	mouse	Santiagueno	Quechua	ukucha	ratón	u x u + tʃ a	ukucha				juanatey2021
4661	- u k u + tʃ a	4157 352	mouse	SantoTomas	Quechua	vcucha	ratón	u k u + tʃ a	vcucha				santotomas1951
4662	- u k u + tʃ a	4157 352	mouse	Serena	Quechua	uku.ča	ratón	u k u + tʃ a	uku.ča				heggarty2005
4663	a tʃ a k u	49	mouse	Sullkatiti	Aymara	ačaku	ratón	a tʃ a k u	ačaku				heggarty2005
4664	h u kʼ u + tʃ a	4157 352	mouse	Taquile	Quechua	huk'u.ča	ratón	h u kʼ u + tʃ a	huk'u.ča				heggarty2005
4665	- u g u + ʂ	4157 381	mouse	Tarma	Quechua	uguš	ratón	u g u + ʂ	uguš				adelaar1977
4666	- u k u + tʃ a	4157 352	mouse	Troje	Quechua	uku.ča	ratón	u k u + tʃ a	uku.ča				heggarty2005
4667	- u k u + ʃ	4157 381	mouse	Yanac	Quechua	uku.š	ratón	u k u + ʃ	uku.š				heggarty2005
4668	p i tʃ χ a	1936	five	Anonimo	Quechua	pichcca	cinco	p i tʃ χ a	pichcca				valera1586
4669	p i tʃ q a	1936	five	Apuri	Quechua	pichqa	cinco	p i tʃ q a	pichqa				shimelman2017
4670	p i s k a	1936	five	Apurimac	Quechua	pisca	cinco	p i s k a	pisca, pichqa				camacho2007
4671	p i tʃ q a	1936	five	Apurimac	Quechua	pichqa	cinco	p i tʃ q a	pisca, pichqa				camacho2007
4672	p i tʃ χ a	1936	five	Arma	Quechua	pichqa	cinco	p i tʃ χ a	pichqa				galvez2003
4673	p i tʃ χ a	1936	five	Atalla	Quechua	pičχa	cinco	p i tʃ χ a	pičχa, pičqa				heggarty2005
4674	p i tʃ q a	1936	five	Atalla	Quechua	pičqa	cinco	p i tʃ q a	pičχa, pičqa				heggarty2005
4675	p i tʃ χ a	1936	five	Ayacucho	Quechua	pichqa	cinco	p i tʃ χ a	pichqa				soto1976
4676	p i tʃ k a	1936	five	Bobonaza	Quechua	pichca	cinco	p i tʃ k a	pichca				orrwrisley1981
4677	p i tʃ q a	1936	five	Cacra-Hongos	Quechua	pichqa	cinco	p i tʃ q a	pichqa				shimelman2017
4678	p i tʃ k a	1936	five	Chachapoyas	Quechua	pichka	cinco	p i tʃ k a	pichka				taylor2006
4679	p i ts q a	1936	five	Chacpar	Quechua	pitsqa	cinco	p i ts q a	pitsqa				heggarty2005
4680	p i tʃ ʁ a	1936	five	Chetilla	Quechua	pičγa	cinco	p i tʃ ʁ a	pič(ə)γa				heggarty2005
4681	pʰ i s q a	319	five	Chipaya	Uru-Chipaya	phisqa	cinco	pʰ i s q a	phisqa				heggarty2005
